Airline_Name,Airport_Name,Highest_Avg_Delay
"Alaska Airlines Inc.: AS","Washington, DC: Washington Dulles International",35.54913294797688
"Allegiant Air: G4","Evansville, IN: Evansville Regional",84.55555555555556
"American Airlines Inc.: AA","Gunnison, CO: Gunnison-Crested Butte Regional",118.81481481481481
"Delta Air Lines Inc.: DL","Harlingen/San Benito, TX: Valley International",52.206896551724135
"Endeavor Air Inc.: 9E","Houston, TX: George Bush Intercontinental/Houston",177
"Envoy Air: MQ","Salt Lake City, UT: Salt Lake City International",82.5
"Frontier Airlines Inc.: F9","Sioux Falls, SD: Joe Foss Field",102.76923076923077
"Hawaiian Airlines Inc.: HA","Austin, TX: Austin - Bergstrom International",83.93333333333334
"JetBlue Airways: B6","Ontario, CA: Ontario International",105.83870967741936
"PSA Airlines Inc.: OH","Sarasota/Bradenton, FL: Sarasota/Bradenton International",62
"Republic Airline: YX","Miami, FL: Miami International",42.078125
"SkyWest Airlines Inc.: OO","Mission/McAllen/Edinburg, TX: McAllen Miller International",510
"Southwest Airlines Co.: WN","San Francisco, CA: San Francisco International",23.517882689556508
"Spirit Air Lines: NK","Charleston/Dunbar, WV: Yeager",65.6875
"United Air Lines Inc.: UA","Providence, RI: Theodore Francis Green State",65.33333333333333
